"","x","y","sst","chlo","a","b","phyto_max","dt"
"1416",-142.5,-57.5,1.74577918851609,0.215755830184016,-2.26650589337426,-1.02078800992058,-8.1,0.01
"1417",-137.5,-57.5,2.29660022691867,0.202896339384534,-2.3747743816409,-1.02831032468523,-8.1,0.01
"1418",-132.5,-57.5,2.65594055076548,0.201070706656709,-2.39064296526768,-1.02940779023108,-8.1,0.01
"1419",-127.5,-57.5,3.56049401251309,0.181822841049902,-2.56619616175196,-1.04146214948702,-8.1,0.01
"1420",-122.5,-57.5,4.01984603770828,0.177765816190247,-2.6052609490986,-1.0441227457682,-8.1,0.01
"1421",-117.5,-57.5,4.13595108582231,0.172437502316291,-2.65775039452442,-1.04768508042597,-8.1,0.01
"1422",-112.5,-57.5,4.33194810196208,0.167458111653875,-2.70807088227326,-1.05108661358253,-8.1,0.01
"1423",-107.5,-57.5,4.57862407013224,0.167094522591813,-2.7117948149967,-1.05133781083535,-8.1,0.01
"1424",-102.5,-57.5,4.80545838497305,0.166063914032025,-2.72238787155858,-1.05205196279219,-8.1,0.01
"1425",-97.5,-57.5,4.84347496032717,0.164209839901662,-2.74158556337876,-1.05334469986187,-8.1,0.01
"1426",-92.5,-57.5,4.82005796432497,0.16377327214576,-2.74613251132425,-1.05365059687637,-8.1,0.01
"1427",-87.5,-57.5,5.01747316607725,0.156475824504874,-2.82368425147096,-1.05885097810328,-8.1,0.01
"1428",-82.5,-57.5,5.15289671156144,0.153904566428025,-2.85172907426281,-1.06072366989653,-8.1,0.01
"1429",-77.5,-57.5,5.17487803035315,0.168742791044442,-2.69496768086858,-1.05020215706359,-8.1,0.01
"1430",-72.5,-57.5,5.10627334177997,0.223279569283072,-2.20585366502514,-1.01654778388298,-8,0.01
"1431",-67.5,-57.5,4.15770961254364,0.236594112559822,-2.1030051483067,-1.0093147824799,-8,0.01
"1432",-62.5,-57.5,3.0123222567207,0.201248567664161,-2.38909132850546,-1.02930053676438,-8.1,0.01
"1433",-57.5,-57.5,2.37332513143148,0.263054500273309,-1.91388676634716,-0.995874897223202,-8,0.01
"1434",-52.5,-57.5,1.73347296538179,0.333816309154734,-1.48796832831742,-0.964950099886589,-7.9,0.01
"1435",-47.5,-57.5,1.31487679984614,0.44280872906222,-0.99154145584562,-0.927778982100573,-7.9,0.01
"1436",-42.5,-57.5,0.961351007128538,0.444665716659892,-0.984341056515006,-0.927231088261077,-7.9,0.01
"1437",-37.5,-57.5,0.754910836985099,0.34094842351752,-1.45032245653391,-0.962173416579947,-7.9,0.01
"1438",-32.5,-57.5,0.490863780622145,0.272490901284327,-1.85085647728426,-0.991355554216219,-8,0.01
"1439",-27.5,-57.5,0.259843792991048,0.347940825151975,-1.41422120242106,-0.959504106757368,-7.9,0.01
"1440",-22.5,-57.5,0.611968661363809,0.316898209942514,-1.58077061431349,-0.971765117432401,-8,0.01
"1441",-17.5,-57.5,0.504821528833395,0.270629704063713,-1.86311742036672,-0.992236240416219,-8,0.01
"1442",-12.5,-57.5,0.313294082722351,0.194565492837585,-2.44825075133016,-1.03338101593717,-8.1,0.01
"1443",-7.5,-57.5,0.146239225616335,0.183123356682844,-2.55383336982587,-1.04061849418667,-8.1,0.01
"1444",-2.5,-57.5,0.0256527315372016,0.184840275718267,-2.53762860261132,-1.03951145091118,-8.1,0.01
"1445",2.5,-57.5,0.0226391540002699,0.180772677611134,-2.57623520044515,-1.04214664198469,-8.1,0.01
"1446",7.5,-57.5,0.0490644375062825,0.190737039494272,-2.48295662170675,-1.03576641348867,-8.1,0.01
"1447",12.5,-57.5,0.0900711881210479,0.21379400040107,-2.28263890507737,-1.02191271278447,-8.1,0.01
"1448",17.5,-57.5,0.113996907979316,0.181071621518151,-2.57337231073858,-1.04195149497014,-8.1,0.01
"1449",22.5,-57.5,0.220461304898419,0.140518075669582,-3.0042894890536,-1.07083652057388,-8.1,0.01
"1450",27.5,-57.5,0.473479682764274,0.143592546950785,-2.96823409605167,-1.06845790860466,-8.1,0.01
"1451",32.5,-57.5,0.512106895614992,0.159977412595025,-2.78610264626889,-1.05633487224019,-8.1,0.01
"1452",37.5,-57.5,0.416210945321158,0.166308785495634,-2.71986594522541,-1.05188199594259,-8.1,0.01
"1453",42.5,-57.5,0.182497475471046,0.148064834021205,-2.91689068678129,-1.06505850452938,-8.1,0.01
"1454",47.5,-57.5,0.339684544753376,0.135533495142709,-3.06412114419148,-1.07476793311239,-8.1,0.01
"1455",52.5,-57.5,0.463915092814766,0.133539321571136,-3.08855256089653,-1.07636758516236,-8.1,0.01
"1456",57.5,-57.5,0.639945018018174,0.133116260616796,-3.09377302002282,-1.07670896624995,-8.1,0.01
"1457",62.5,-57.5,0.847212312250981,0.134901043443573,-3.07183830340139,-1.07527357320026,-8.1,0.01
"1458",67.5,-57.5,0.907317550598648,0.131748720861991,-3.11073888035059,-1.07781736622304,-8.1,0.01
"1459",72.5,-57.5,0.628958764824726,0.135784995065235,-3.0610603495228,-1.0745672938647,-8.1,0.01
"1460",77.5,-57.5,0.322199134473465,0.180889124428892,-2.5751195394521,-1.04207059876582,-8.1,0.01
"1461",82.5,-57.5,0.623249133680249,0.209050184125987,-2.32221228385116,-1.02466590436672,-8.1,0.01
"1462",87.5,-57.5,1.08256368082038,0.186046373631392,-2.52632335465268,-1.0387383134367,-8.1,0.01
"1463",92.5,-57.5,0.857281572940719,0.184103349495744,-2.54456780299801,-1.03998567602313,-8.1,0.01
"1464",97.5,-57.5,0.748096232103103,0.194153686405669,-2.45195479898005,-1.03363589892709,-8.1,0.01
"1465",102.5,-57.5,0.698180008186887,0.197656472838209,-2.42066809548395,-1.03148076854169,-8.1,0.01
"1466",107.5,-57.5,1.13658942225961,0.183485860084539,-2.55040098313103,-1.04038412174448,-8.1,0.01
"1467",112.5,-57.5,1.5504734468208,0.165014393687498,-2.73323259225249,-1.05278246612787,-8.1,0.01
"1468",117.5,-57.5,1.85077236670037,0.156335047991217,-2.82520976737111,-1.05895295271827,-8.1,0.01
"1469",122.5,-57.5,2.05603875499976,0.150543577511416,-2.88897813507387,-1.06320444292889,-8.1,0.01
"1470",127.5,-57.5,2.31629412203662,0.147602150791715,-2.92214324442932,-1.06540692900593,-8.1,0.01
"1471",132.5,-57.5,2.52706269780587,0.146601344046593,-2.9335510364795,-1.06616314135462,-8.1,0.01
"1472",137.5,-57.5,2.42112448135594,0.150242974795127,-2.89234294387543,-1.06342816985392,-8.1,0.01
"1473",142.5,-57.5,2.03152282528148,0.161284733597271,-2.77224764162277,-1.05540537323354,-8.1,0.01
"1474",147.5,-57.5,1.38384608364612,0.197255056898449,-2.42422845733608,-1.03172627276353,-8.1,0.01
"1475",152.5,-57.5,2.00042034330824,0.224193454710102,-2.19861480754683,-1.01604045868664,-8,0.01
"1476",157.5,-57.5,2.6103693352385,0.189115188518652,-2.49784435120864,-1.03678776208113,-8.1,0.01
"1477",162.5,-57.5,3.40631926492831,0.191699156066397,-2.4741774172292,-1.03516359194259,-8.1,0.01
"1478",167.5,-57.5,5.18772854939552,0.188687684808375,-2.50178727004426,-1.03705806711342,-8.1,0.01
"1479",172.5,-57.5,5.36540154082016,0.183834021518545,-2.54710994209873,-1.04015934312991,-8.1,0.01
"1480",177.5,-57.5,4.81112234933038,0.19591758310989,-2.43613779113868,-1.03254700362494,-8.1,0.01
"1481",-177.5,-62.5,1.12721713947453,0.198388003524579,-2.41419627408713,-1.03103433757695,-8.1,0.01
"1482",-172.5,-62.5,0.761657662786941,0.203158160249062,-2.37250909357904,-1.02815355248842,-8.1,0.01
"1483",-167.5,-62.5,0.454155677294201,0.206698296065768,-2.34213409137888,-1.02604886282683,-8.1,0.01
"1484",-162.5,-62.5,0.20835683215444,0.201994193502585,-2.38259989221088,-1.02885169615769,-8.1,0.01
"1485",-157.5,-62.5,0.0239767794466266,0.199323930825699,-2.40594705439943,-1.03046498725042,-8.1,0.01
"1486",-152.5,-62.5,-0.153849703924981,0.18638368196223,-2.52317307338819,-1.03852275522241,-8.1,0.01
"1487",-147.5,-62.5,0.00996575078007055,0.161889172838486,-2.76587359249513,-1.05497741054769,-8.1,0.01
"1488",-142.5,-62.5,0.211139439190943,0.175273375861047,-2.62964353166733,-1.04577933117886,-8.1,0.01
"1489",-137.5,-62.5,0.356124893656081,0.19498920232398,-2.44444687169476,-1.03311918949292,-8.1,0.01
"1490",-132.5,-62.5,0.629048673522134,0.200920408453261,-2.39195510362108,-1.02949847922408,-8.1,0.01
"1491",-127.5,-62.5,0.996959460307281,0.199283358843978,-2.40630393806284,-1.03048962615346,-8.1,0.01
"1492",-122.5,-62.5,1.39172796000461,0.197555497557955,-2.42156309136111,-1.03154248900383,-8.1,0.01
"1493",-117.5,-62.5,1.68373031792819,0.188844886580865,-2.50033646900864,-1.03695861747883,-8.1,0.01
"1494",-112.5,-62.5,2.01471810483851,0.179794604771333,-2.58563061882252,-1.04278677392287,-8.1,0.01
"1495",-107.5,-62.5,1.80660151047684,0.172974107184793,-2.65240180338756,-1.04732274582583,-8.1,0.01
"1496",-102.5,-62.5,1.78444340233242,0.167032812934598,-2.71242753566624,-1.05138048361732,-8.1,0.01
"1497",-97.5,-62.5,1.91975071728757,0.162522060213134,-2.75922092444523,-1.05453051066706,-8.1,0.01
"1498",-92.5,-62.5,1.77157284898104,0.156779390947832,-2.82039855379595,-1.05863130011268,-8.1,0.01
"1499",-87.5,-62.5,1.9675292688703,0.155657451942924,-2.8325685095793,-1.05944468012402,-8.1,0.01
"1500",-82.5,-62.5,1.91898321003723,0.158059188527112,-2.8066044437144,-1.0577084118812,-8.1,0.01
"1501",-77.5,-62.5,1.89992817310221,0.162315294893254,-2.76139196444966,-1.05467637838154,-8.1,0.01
"1502",-72.5,-62.5,1.35535275074121,0.175719719355628,-2.62525530534421,-1.04548141904705,-8.1,0.01
"1503",-67.5,-62.5,0.7215047899526,0.20880849788408,-2.32425015060362,-1.02480746518651,-8.1,0.01
"1504",-62.5,-62.5,0.441744992257865,0.214260736657127,-2.27878853659886,-1.02164440768033,-8.1,0.01
